Informational text piece discussing how new NFL rules are making football safer.  Student handout and video.  High interest.,sports
"Imagining themselves arriving at the Olympic gold medal soccer game in Beijing, students begin to think about how engineering is involved in sports. After a discussion of kinetic and potential energy, an associated hands-on activity gives students an opportunity to explore energy absorbing materials as they try to protect an egg from being crushed.",sports
"This text represents the collaboration of more than 70 authors from multiple countries. Essentials of Exercise and Sport Psychology: An Open Access Textbook brings this diverse set of experts together to provide a free, open, accessible textbook for students studying exercise and sport psychology. Primarily directed at undergraduate students, this well-referenced book is also appropriate for graduate students.",sports
"This unit is presented as a quick informational video on the history of field hockey as well as the positions, equipment, and rules to be followed in order to play.",sports
"In this activity, students will review vocabulary relating to the body and parts of the body. Additionally, students will practice talking about health and how they stay healthy.",sports
Get out there and tell people what you want is great advice from professional soccer player Darian Jenkins.  Learn more about her story here.,sports
"This collection uses primary sources to explore Negro League Baseball. Digital Public Library of America Primary Source Sets are designed to help students develop their critical thinking skills and draw diverse material from libraries, archives, and museums across the United States. Each set includes an overview, ten to fifteen primary sources, links to related resources, and a teaching guide. These sets were created and reviewed by the teachers on the DPLA's Education Advisory Committee.",sports
"Many of today's popular sports are based around the use of balls, yet none of the balls are completely alike. In fact, they are all designed with specific characteristics in mind and are quite varied. Students investigate different balls' abilities to bounce and represent the data they collect graphically.",sports
"Students explore why different types of sneakers are used in a variety of common sports, and how engineers analyze design needs in sneakers and many other everyday items. The goal is for students to understand the basics of engineering associated with the design of athletic shoes. The design of footware based on how it will be used involves bioengineering. Students analyze the foot movements in a variety of sports, develop design criteria for a specific sport, and make recommendations for requirements for the sneakers used in that sport.",sports
"Studying sports as social phenomena helps us understand the ways that social class, gender, race and ethnicity, sexuality, and physical ability influence our everyday lives. Sports are also linked with the organization and dynamics of family life. Parents and educators see them as tools for teaching values to young people. Politicians often see them as vehicles for developing local and national identities, and corporations sponsor certain types of sports to market both products and ways of thinking about competition and consumption to people worldwide. Corporate executives now realize that sponsoring peoples pleasures (i.e., sporting events) produces support for their products. At the same time, most sports organizations seek corporate support to ensure their survival.",sports
Charades! Students will be playing charades about the sports they are learning about and other vocabulary about sports,sports
This resource provides information around offering Sport(s) Officiating in High School Physical Education and available teaching resources.,sports
This resource provides information around offering Sport(s) Officiating in High School Physical Education and available teaching resources.,sports
"Explores how sports are and have been represented and expressed in media and literature, including fiction, nonfiction, poetry, and plays. Investigates the ways in which narrative representation engages changing cultural and historical contexts. Focus is on analysis of gender, race, and socioeconomics, along with philosophy, ethics, psychology, and politics in sports literature and media.",sports
A summary of lesson plans to help teach and understand the correct kicking techniques for a successful soccer kick and goal experience.,sports
"What will students learn in this lesson?Throughout this lesson, your student(s) will be introduced to different types of sports and leisure activities. The lesson includes several pictures and speaking prompts to encourage students to use new vocabulary words in the correct context.In this lesson, your student(s) will also learn to differentiate sports, leisure activities, and games. With help, they will be able to describe how these are played or completed.Moreover, your student(s) will gain the knowledge to match vocabulary words and complete sentences with the relevant images. As well, they will learn to fill in the blanks of sentences with the correct words.Finally, your student(s) will learn to practice using words and verbs in different contexts. In particular, you should encourage them to use the verbs play, do and go with the vocabulary learned. By the end of the lesson, your student(s) should be able to form sentences independently and to ask you or their classmates' related questions.If you want additional lesson plans and support, including teachers notes, be sure to register for a free Off2Class account.",sports
"This list presents a basic set of vocabulary words that deal with the categories of global sports and various hobbies and outdoor activities. The words include both nouns and verbs relevant to playing sports, board games, and visiting areas of leisurely interest.The majority of words contained within the website are nouns, and some verbs are interspersed. The words and verbs are presented in both modern standard and colloquial Egypt, and feature Arabic text and transliteration.",sports
This resource provides information around offering Sport(s) Officiating in High School Physical Education and available teaching resources.,sports
"Physical activity and/or exercise confers many benefits. It improves our mental outlook and capacity, our self-image and self-confidence, and provides independence for the elderly. Moving can also increase lean body mass and decrease body fat, increases bone mass, and improve heart, lung, and muscle function. Morbidity and mortality are lower in people who are physically active compared to people who are sedentary. Also, the risk is reduced for cardiovascular disease, hypertension, stroke, type II diabetes, cancer, particularly colon and breast, osteoporosis, and gallbladder disease.",sports
"The questions in this activity help students to understand the effects of consuming sports drinks and when and how the consumption of sports drinks can be beneficial or harmful. This activity provides the opportunity to review some basic concepts related to osmosis, cellular respiration, mammalian temperature regulation, and how our different body systems cooperate to maintain homeostasis.",sports
"In this lesson, students learn about psychological variables that can affect athletic performance. Students will also be able to identify strategies to help athletes cope with stresses. The knowledge acquired will be incorporated within a player injury profile. This lesson 3 of 4 is a part of a injury management project.In this lesson students learn the basic terminology related to sports psychology and psychological variables that can affect athletic performance. Students will be able to understand coping strategies to help athletes deal with sport related stresses. The activities used to aid in understanding of sports psychology will be a lecture and video and article response writing along with  group discussion to athletes dealing with psychological barriers and how they cope with them.",sports
This lesson plan aims to show how Hand Signals benefit the deaf community.,sports
"This is a 3-credit, 10-week course.This course is intended to serve as an introduction to the emerging and evolving fields of the sociology and psychology of physical activity. This course considers the many specialized facets of these topics in a review fashion, and selected topics, owing to their significance and/or empirical basis, are covered in more depth. This course considers both historical and contemporary developments in exercise psychology and sociology, and examines the social and psychobiological predictors and health-related consequences of physical activity behaviors.",sports
"There are so many things you can participate in at school.  Do you like sports?  Join a team or go to a gym! Do you like music?  Join the band or the drama club?  Do you like to participate in various things?  Learn how to say all of these opportunities in Spanish in this seminar.ACTFL StandardsCommunication: Interpersonal CommunicationCultures: Relating Cultural Practices to PerspectivesLearning TargetI can present an overview about my school, community, or workplace.Habits of MindApplying past knowledge to new situationsCritical Thinking SkillConstructing Support",sports
"Spikeball is a game that can be played on beaches, college campuses, city parks, anywhere you have room! Here we will practice some basic ball handling techniques and cooperative activity to build the skills necessary to play Spikeball.",sports
Students in an Advanced Child Development class will examine the pros and cons to allowing or restricting children participation in competitive activities. Based on their research of the topic they will produce a video clarifying one position or the other.,sports
This module will provide a brief introduction to the background and rules of the sport of water polo,sports
"This course highlights the impact of sports-related concussion on athletes, teaches how to recognize a suspected concussion, and provides protocols to manage a suspected concussion with steps to help players return to play safely after a concussion.  Concussions are in the forefront of awareness in academics, sports and activities.  A concussion is a brain injury that leads to symptoms such as headache, dizziness, and confusion. Concussions happen when someone has a blow to the head, or the head is shaken back and forth with great force.",sports
"In this lesson, students will research an injured professional athlete and identify the cause of injury, signs and symptoms, and prognosis. The research acquired will be incorporated within a player injury profile. This lesson 1 of 4 is a part of a injury management project.",sports
"Ultimate Frisbee is simple and straightforward: a field, two teams and one disc. While it takes very little to start, it yields a lot in return by encouraging healthy bodies, lifestyles and mentalities. Ultimate Frisbee teaches responsibility and fair-play by putting officiating, game management and team conduct largely in the hands of its players. Ultimate Frisbee promotes a culture of valuing all of its members and being inclusive by gender, race/ethnicity and levels of mental and physical ability. It builds cohesion among diverse players and forms a community. Its a safe, non-contact sport where girls and boys may play together even at the highest levels.",sports
"This lesson allows students a quick view of Bo-Taoshi, a Japanese military training exercise. They will then be challenged to create their own game using items they create, or have at home.",sports
"This unit is presented as a quick informational video on the history of field hockey as well as the positions, equipment, and rules to be followed in order to play.",sports
"This trick from Exploratorium physicist Paul Doherty lets you add together the bounces of two balls and send one ball flying. When we tried this trick on the Exploratorium's exhibit floor, we gathered a crowd of visitors who wanted to know what we were doing. We explained that we were engaged in serious scientific experimentation related to energy transfer. Some of them may have believed us. If you'd like to go into the physical calculations of this phenomenam, see the related resource ""Bouncing Balls"" - it's the same activity but with the math explained.",sports
"In this lesson, students will have the opportunity to learn about one such game, which is often called double ball in English. Double ball is a team sport that is similar to the contemporary game of lacrosse, in that it involves multiple players using long sticks and a ball, with the purposein most versionsof getting the ball across a goal line or through some sort of target. Many tribes, including several in Oregon, played a version of double ball and continue to do so today.While focused on physical education, this lesson reinforces two important concepts that are woven throughout this curriculum. First, students will learn that while there are many similarities across tribal nations and Indigenous communities including some of the games they playNative American people are far from homogeneous and in fact represent a rich diversity of unique cultures. Second, students will be encouraged to think about how the specific natural environment in which a given tribe livedits ancestral territory shaped its identity and culture in both large and small ways. Understanding this strong connection to place is essential to understanding and respecting Native American cultures in Oregon and across North America, past and present.",sports
The lesson contains step by step instruction for applying a basic wrist taping.  The basic tape job can be used as anchors for the addition of a full hand tape job or a thumb spica wrap.,sports
"Roman version of a Greek bronze original of about 440430 BC, found at Vaison, France. Known as the Daidoumenos (ribbon wearer) this statue shows a triumphant athlete tying a ribbon round his head immediately after a victory.  Winners in the ancient Olympics were allowed to set up statues of themselves at Olympia. If they won three times they could set up specially commissioned portrait statues which could cost up to ten times the average yearly wage. © Trustees of the British Museum",sports
"This is a PBL activity/lesson plan for sixth grade students. It focuses on forming opinions backed with well-researched information to back it up, as well as encouraging debate and speaking skills as the students participate in a classroom discussion (Socratic seminar) and defend their opinions against an opposing party. They learn to defend themselves and refute the other side's arguments in a respectful manner.",sports
"This resource is a video abstract of a research paper created by Research Square on behalf of its authors. It provides a synopsis that's easy to understand, and can be used to introduce the topics it covers to students, researchers, and the general public. The video's transcript is also provided in full, with a portion provided below for preview:""Shoulder dislocations and partial dislocations are some of the most common and disabling injuries in active young people, especially athletes. After the bone has been popped back and the initial agony is over, the issue of what to do next is much debated. One option is surgery to try to repair the damage, but whether that is preferable to less-invasive care remains controversial. Researchers now have evidence that supports the surgical option, at least for young people suffering a first event. The team monitored the degree of bone damage to the shoulder socket, or glenoid bone, which holds the head of the humerus in place. Until now, there has not been much information about the extent of this damage to guide a decision on the best approach. The shoulders of 714 student athletes were imaged by MRI scanning, and the subjects were then followed for four years..."" The rest of the transcript, along with a link to the research itself, is available on the resource itself.",sports
"This resource is a video abstract of a research paper created by Research Square on behalf of its authors. It provides a synopsis that's easy to understand, and can be used to introduce the topics it covers to students, researchers, and the general public. The video's transcript is also provided in full, with a portion provided below for preview:""Rock climbing is one of the fastest-growing sports on the planet. The upcoming 2020 Olympics in Japan will be the first to feature climbing as one of its prestigious events. While research has helped climbers learn how to avoid injuries to their upper body, surprisingly little is known about the effects of climbing on the lower body. Now, for the first time, researchers have discovered patterns of knee injury across both competitive and noncompetitive climbers. Their findings, published in the March issue of The American Journal of Sports Medicine, could offer athletes and healthcare providers useful tips on how to avoid or bounce back from injury. Over a period of 4 years, the authors of the study looked at 71 patients with 77 independent acute knee injuries due to climbing. Athletes were grouped by performance level, either competitive or noncompetitive, and injuries were classified by climbing type, due either to rope climbing or to bouldering, both indoor and outdoor..."" The rest of the transcript, along with a link to the research itself, is available on the resource itself.",sports
"In this lesson, students learn about psychological variables that can affect athletic performance. Students will also be able to identify strategies to help athletes cope with stresses. The knowledge acquired will be incorporated within a player injury profile. This lesson 3 of 4 is a part of a injury management project.In this lesson students learn the basic terminology related to sports psychology and psychological variables that can affect athletic performance. Students will be able to understand coping strategies to help athletes deal with sport related stresses. The activities used to aid in understanding of sports psychology will be a lecture and video and article response writing along with  group discussion to athletes dealing with psychological barriers and how they cope with them.",sports
"The resource contains handouts and instructions for discussing traditional non-stretch tape, mainstream elastic tape and dynamic/kinesiotape.",sports
"This resource is a video abstract of a research paper created by Research Square on behalf of its authors. It provides a synopsis that's easy to understand, and can be used to introduce the topics it covers to students, researchers, and the general public. The video's transcript is also provided in full, with a portion provided below for preview:""Many factors influence recovery from surgical ACL reconstruction, and defining these is key to achieving the best outcomes. While the elements linked to surgical success in adult populations are well defined, they arent so clear for younger patients. New research from the Hospital for Special Surgery in New York suggests that for these patients, age matters when it comes to protecting the knee. That conclusion stems from an evaluation of 324 athletes under 20 years of age who underwent ACL reconstruction following a sports injury. A key consideration when operating on this group is minimizing the risk of growth disturbances. Children and young adolescents havent reached skeletal maturity, which has led to the development of age-specific surgical techniques. Researchers compared several of these approaches among groups divided based on skeletal age, school age distribution, surgical technique, and graft selection. Clinical follow-up was performed for at least 2 years..."" The rest of the transcript, along with a link to the research itself, is available on the resource itself.",sports
"A foundational single-day lesson plan (vocabulary and sequence of process) of an advanced foods and dietetics course. This lesson contains vocabulary and materials covering the topic of post-performance nutrition. This lesson contains a presentation, anticipatory bell ringer log and meal planning worksheet. Essential Questions: What nutrients can assist in athletic performance?How can I nutritionally recover from athletic performance?What is nutrient timing?Learning Objective(s): TSWAT define performance TSWBAT define nutrient timing TSWBAT define electrolyteTSWBAT compare and contrast nutritition needed after performance TSWBAT identify dietary reccomendations after performance TSWBAT understand how nutrition can assist in athletic performanceKey Terms:Nutrient Timing PerformanceElectrolyte Shelf Stable Material Type:Lesson Plan LectureHomework/Assignment Image Credit: OER Title Image provided by Vitalii Pavlyshynets | UnsplashLesson Length:45 Minutes",sports
Thoughts,sports
on,sports
athletes,sports
being,sports
paid,sports
Football,sports
and,sports
other,sports
sports,sports
are,sports
supposed,sports
to,sports
be,sports
fun,sports
and,sports
entertaining.,sports
Professional,sports
athletes,sports
get,sports
paid,sports
extremely,sports
well,sports
for,sports
playing,sports
a,sports
game,sports
they,sports
love.,sports
As,sports
with,sports
any,sports
"occupation,",sports
"however,",sports
there,sports
is,sports
a,sports
dark,sports
side.,sports
These,sports
athletes,sports
endure,sports
injuries,sports
that,sports
can,sports
having,sports
lasting,sports
"effects,",sports
some,sports
even,sports
life,sports
threatening.,sports
This,sports
seminar,sports
will,sports
provide,sports
an,sports
in-depth,sports
view,sports
of,sports
athletes,sports
who,sports
deal,sports
with,sports
the,sports
effects,sports
of,sports
concussions,sports
and,sports
some,sports
who,sports
could,sports
not.CC.1.3.910.BCite,sports
strong,sports
and,sports
thorough,sports
textual,sports
evidence,sports
to,sports
support,sports
analysis,sports
of,sports
what,sports
the,sports
text,sports
says,sports
"explicitly,",sports
as,sports
well,sports
as,sports
inferences,sports
and,sports
conclusions,sports
based,sports
on,sports
an,sports
authors,sports
explicit,sports
assumptions,sports
and,sports
beliefs,sports
about,sports
a,sports
subject.CC.1.2.1112.GIntegrate,sports
and,sports
evaluate,sports
multiple,sports
sources,sports
of,sports
information,sports
presented,sports
in,sports
different,sports
media,sports
or,sports
formats,sports
"(e.g.,",sports
"visually,",sports
quantitatively),sports
as,sports
well,sports
as,sports
in,sports
words,sports
in,sports
order,sports
to,sports
address,sports
a,sports
question,sports
or,sports
solve,sports
a,sports
problem.,sports
Athletes,sports
often,sports
wear,sports
protective,sports
gear,sports
to,sports
keep,sports
themselves,sports
safe,sports
in,sports
contact,sports
sports.,sports
In,sports
this,sports
"spirit,",sports
students,sports
follow,sports
the,sports
steps,sports
of,sports
engineering,sports
design,sports
process,sports
as,sports
they,sports
"design,",sports
build,sports
and,sports
test,sports
protective,sports
padding,sports
for,sports
an,sports
egg,sports
drop.,sports
Many,sports
of,sports
the,sports
design,sports
considerations,sports
surrounding,sports
egg,sports
drops,sports
are,sports
similar,sports
to,sports
sports,sports
equipment,sports
design.,sports
Watching,sports
the,sports
transformation,sports
of,sports
energy,sports
from,sports
potential,sports
to,sports
"kinetic,",sports
observing,sports
the,sports
impact,sports
and,sports
working,sports
under,sports
material,sports
constraints,sports
introduces,sports
students,sports
to,sports
"""sports",sports
"engineering""",sports
and,sports
gives,sports
them,sports
a,sports
chance,sports
to,sports
experience,sports
some,sports
of,sports
the,sports
challenges,sports
engineers,sports
face,sports
in,sports
designing,sports
equipment,sports
to,sports
protect,sports
athletes.,sports
This,sports
single,sports
day,sports
lesson,sports
plan,sports
covers,sports
hydration,sports
through,sports
a,sports
sports,sports
performance,sports
lens.,sports
Students,sports
within,sports
this,sports
lesson,sports
will,sports
be,sports
asked,sports
to,sports
take,sports
notes,sports
using,sports
the,sports
presentaion,sports
provided,sports
and,sports
complete,sports
the,sports
Hydration,sports
Math,sports
worksheet.,sports
Key,sports
Terms:,sports
"Hydration,",sports
Sweat,sports
"Loss,",sports
Electrolytes,sports
Athletes,sports
always,sports
try,sports
to,sports
gain,sports
an,sports
advantage,sports
over,sports
their,sports
opponent.,sports
They,sports
work,sports
out,sports
"hard,",sports
meticulously,sports
watch,sports
what,sports
they,sports
"eat,",sports
and,sports
in,sports
some,sports
cases,sports
take,sports
supplements.,sports
Some,sports
athletes,sports
even,sports
go,sports
to,sports
the,sports
extreme,sports
and,sports
take,sports
performance,sports
enhancing,sports
"drugs,",sports
"steroids,",sports
known,sports
as,sports
PEDs.,sports
This,sports
seminar,sports
will,sports
provide,sports
the,sports
learner,sports
the,sports
ability,sports
to,sports
acquire,sports
and,sports
integrate,sports
the,sports
knowledge,sports
of,sports
the,sports
history,sports
of,sports
performance,sports
enhancing,sports
drugs,sports
into,sports
today's,sports
sports,sports
world.StandardsCC.1.2.1112.ADetermine,sports
and,sports
analyze,sports
the,sports
relationship,sports
between,sports
two,sports
or,sports
more,sports
central,sports
ideas,sports
of,sports
a,sports
"text,",sports
including,sports
the,sports
development,sports
and,sports
interaction,sports
of,sports
the,sports
central,sports
ideas;,sports
provide,sports
an,sports
objective,sports
summary,sports
of,sports
the,sports
text.CC.1.2.1112.BCite,sports
strong,sports
and,sports
thorough,sports
textual,sports
evidence,sports
to,sports
support,sports
analysis,sports
of,sports
what,sports
the,sports
text,sports
says,sports
"explicitly,",sports
as,sports
well,sports
as,sports
inferences,sports
and,sports
conclusions,sports
based,sports
on,sports
and,sports
related,sports
to,sports
an,sports
authors,sports
implicit,sports
and,sports
explicit,sports
assumptions,sports
and,sports
beliefs.,sports
Students,sports
explore,sports
why,sports
different,sports
types,sports
of,sports
sneakers,sports
are,sports
used,sports
in,sports
a,sports
variety,sports
of,sports
common,sports
"sports,",sports
and,sports
how,sports
engineers,sports
analyze,sports
design,sports
needs,sports
in,sports
sneakers,sports
and,sports
many,sports
other,sports
everyday,sports
items.,sports
The,sports
goal,sports
is,sports
for,sports
students,sports
to,sports
understand,sports
the,sports
basics,sports
of,sports
engineering,sports
associated,sports
with,sports
the,sports
design,sports
of,sports
athletic,sports
shoes.,sports
The,sports
design,sports
of,sports
footware,sports
based,sports
on,sports
how,sports
it,sports
will,sports
be,sports
used,sports
involves,sports
bioengineering.,sports
Students,sports
analyze,sports
the,sports
foot,sports
movements,sports
in,sports
a,sports
variety,sports
of,sports
"sports,",sports
develop,sports
design,sports
criteria,sports
for,sports
a,sports
specific,sports
"sport,",sports
and,sports
make,sports
recommendations,sports
for,sports
requirements,sports
for,sports
the,sports
sneakers,sports
used,sports
in,sports
that,sports
sport.,sports
"In this lesson, students will research an injured professional athlete and identify the cause of injury, signs and symptoms, and prognosis. The research acquired will be incorporated within a player injury profile. This lesson 1 of 4 is a part of a injury management project.",sports
"Using the question of how exercise and sporting events might be affected by climate, students are led to the basic questions of what causes climate change, how our climate might change, and what affect that might have on athletes and anyone undertaking strenuous exercise.(Note: this resource was added to OER Commons as part of a batch upload of over 2,200 records. If you notice an issue with the quality of the metadata, please let us know by using the 'report' button and we will flag it for consideration.)",sports
Different Types of StretchesStaticDynamicPNFLower Extremity StretchesHamstringGroinGlutePiriformisIlliotibial BandHip FlexorRectus FemorisQuadButterflyVictory StretchUpper Extremity StretchesWarm up AbductionCross BodyOverheadIR (forward flexion & scaption)Chicken WingSerratusBicepRhombiod All fours,sports
"Studying sports as social phenomena helps us understand the ways that social class, gender, race and ethnicity, sexuality, and physical ability influence our everyday lives. Sports are also linked with the organization and dynamics of family life. Parents and educators see them as tools for teaching values to young people. Politicians often see them as vehicles for developing local and national identities, and corporations sponsor certain types of sports to market both products and ways of thinking about competition and consumption to people worldwide. Corporate executives now realize that sponsoring peoples pleasures (i.e., sporting events) produces support for their products. At the same time, most sports organizations seek corporate support to ensure their survival.",sports
"The seminar is designed to look at the science of triathlons and sports from a molecular/chemical biological point of view. We will be able to use our own bodies to see how exercise affects the system, through observations written in a training journal. We will also improve the overall fitness of the class through maintaining a physical fitness program over the course of the term. The end of the term will have us all participate in a mini-triathlon.",sports
"Physical activity and/or exercise confers many benefits. It improves our mental outlook and capacity, our self-image and self-confidence, and provides independence for the elderly. Moving can also increase lean body mass and decrease body fat, increases bone mass, and improve heart, lung, and muscle function. Morbidity and mortality are lower in people who are physically active compared to people who are sedentary. Also, the risk is reduced for cardiovascular disease, hypertension, stroke, type II diabetes, cancer, particularly colon and breast, osteoporosis, and gallbladder disease.",sports
Short Description:Quiz questions that accompany the text are available for faculty and instructors. Request access by providing your credentials and contacting us at learnlib@umn.edu.Word Count: 19514(Note: This resource's metadata has been created automatically by reformatting and/or combining the information that the author initially provided as part of a bulk import process.),sports
